,entity_type,n_sentence,F1_Stanford,Neuro_n_epochs,Neuro_duration,Neuro_F1_on_train_set,Neuro_F1_on_valid_set
0,Belemnite101973723,84,0.9158,15,71,97.89,93.02
1,PlanetaryNebula109394797,88,0.8152799999999999,27,130,90.41,78.26
2,Threadfin102610980,93,0.6194599999999999,15,76,84.28,66.67
3,Bumblebee102209624,98,0.7112399999999999,20,107,80.0,77.42
4,DestroyerEscort103180732,100,0.80776,18,94,85.19,87.5
5,Pasha110403768,1346,0.7526400000000001,37,1134,95.75,76.28
6,EdibleFruit107705931,1354,0.7622599999999999,27,859,87.67,84.82
7,Roundhead110540656,1357,0.7568199999999999,25,801,88.32,79.76
8,Dictator110012244,1361,0.6302800000000001,16,520,86.55,88.39
9,Brain105481095,1362,0.78132,63,1741,97.27,79.62
10,Continent109254614,17569,0.9316399999999999,23,10030,96.61,91.37
11,Prefecture108626947,23468,0.9097,31,17483,96.91,94.03
12,Disease114070360,24779,0.7640399999999999,52,29323,92.88,77.48
